underlying,ticker,vencimento,dias_uteis,fm,mod,strike,ai_otm,dist_perc_strike,ultimo,var_perc,data_hora,num_neg,vol_financeiro,vol_impl_perc,delta,gamma,theta_dolar,theta_perc,vega,iq,coberto,travado,descoberto,titulares,lancadores,earnings_yield_ttm,pe_ttm,Status_Moneyness,%_Alta_p_2x,Status_2x,Status_Liquidez,Status_Theta,moneyness_score,liquidez_score,dobro_score,theta_score,score_total
ABEV3,ABEVL131,18/12/2026,269,,E,"12,73",ITM,"-7,01","2,50","+51,51",11/11/2025,1,"250,00",,,,,,,"0,92",6.900,0,26.100,11,12,,,ITM,,,Baixa,,0,0,0,0,0
ABEV3,ABEVL181,18/12/2026,269,,E,"17,23",OTM,"+25,86","0,10","-54,54",13/10/2025,1,"10,00","14,5","0,1176","0,1063","-0,0014","-1,40","2,5279","0,71",24.200,0,42.100,5,7,,,20%+ OTM (loteria),"6,2",Dobra com até 20% no ativo,Baixa,Theta alto,0,0,2,0,2
ABEV3,ABEVL186,18/12/2026,269,,E,"17,73",OTM,"+29,51",,,,,,,,,,,,,,,,,,,,20%+ OTM (loteria),,,,,0,0,0,0,0
ABEV3,ABEVL191,18/12/2026,269,,E,"18,23",OTM,"+33,16","0,27","+35,00",04/11/2025,3,"7.200,00","17,3","0,2150","0,1218","-0,0028","-1,04","4,0391","1,00",0,0,30.000,1,1,,,20%+ OTM (loteria),"9,2",Dobra com até 20% no ativo,Média,Theta alto,0,1,2,0,3
ALOS3,ALOSL244,18/12/2026,269,,E,"24,39",ITM,"-15,34",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
ALOS3,ALOSL300,18/12/2026,269,,E,"29,89",OTM,"+3,75","3,86","+51,37",13/11/2025,2,"778,00","19,7","0,7295","0,0573","-0,0135","-0,35","9,6890","1,00",0,0,900,2,2,,,0-5% OTM (colada),"18,4",Dobra com até 20% no ativo,Baixa,Theta baixo,2,0,2,1,5
AMBP3,AMBPH103,21/08/2026,188,,E,"1,04",OTM,"+258,62","0,12","+50,00",14/11/2025,53,"1.023,00","194,6","0,5682","0,7774","-0,0006","-0,47","0,1021","7,92",263.100,0,72.900,103,13,,,20%+ OTM (loteria),"72,8",Precisa de 40%+ no ativo,Alta,Theta baixo,0,2,0,1,3
AMBP3,AMBPH138,21/08/2026,188,,E,"1,39",OTM,"+379,31","0,05","+66,66",11/11/2025,1,"30,00","181,1","0,5416","0,6163","-0,0007","-1,38","0,1410","3,71",21.900,6.500,34.900,26,7,,,20%+ OTM (loteria),"31,8",Dobra com 20-40% no ativo,Baixa,Theta alto,0,0,1,0,1
AXIA3,AXIAL383,18/12/2026,269,,E,"34,70",ITM,"-44,57","12,83","-5,31",,1,"1.283,00",,,,,,,"0,50",0,0,3.500,1,2,,,ITM,,,Baixa,,0,0,0,0,0
AXIA3,AXIAH405,21/08/2026,188,,E,"38,70",ITM,"-38,18","11,15",,,4,"4.251,00",,,,,,,"2,00",0,0,300,2,1,,,ITM,,,Baixa,,0,0,0,0,0
AXIA3,AXIAH437,21/08/2026,188,,E,"39,20",ITM,"-37,38","16,10","+101,25",,1,"1.610,00",,,,,,,"0,67",7.300,0,1.200,2,3,,,ITM,,,Baixa,,0,0,0,0,0
AXIA3,AXIAG500,16/07/2027,410,,E,"48,11",ITM,"-23,15","12,50","0,00",,1,"1.250,00",,,,,,,"2,00",0,0,1.000,2,1,,,ITM,,,Baixa,,0,0,0,0,0
AXIA3,AXIAG550,16/07/2027,410,,E,"53,11",ITM,"-15,16","11,80","+1,89",,1,"1.180,00",,,,,,,"0,25",100,0,3.500,1,4,,,ITM,,,Baixa,,0,0,0,0,0
AXIA6,AXIAE405,15/05/2026,119,,E,"36,63",ITM,"-43,93",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
AXIA6,AXIAE410,15/05/2026,119,,E,"37,13",ITM,"-43,17",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
AXIA6,AXIAF467,19/06/2026,143,,E,"44,63",ITM,"-31,69","14,60",,,1,"48.180,00",,,,,,,"1,00",0,0,3.300,1,1,,,ITM,,,Média,,0,1,0,0,1
AXIA6,AXIAE600,15/05/2026,119,,E,"56,13",ITM,"-14,08","6,94","+11,93",,5,"46.005,00",,,,,,,"0,40",237.800,0,446.400,2,5,,,ITM,,,Média,,0,1,0,0,1
AXIA6,AXIAK63,19/11/2026,249,,E,"61,42",ITM,"-5,98",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
AXIA6,AXIAK64,19/11/2026,249,,E,"62,42",ITM,"-4,45",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
AZZA3,AZZAC600,19/03/2027,328,,E,"60,00",OTM,"+101,75","0,70","+79,48",03/11/2025,1,"700,00","36,2","0,1375","0,0184","-0,0058","-0,83","7,2430","1,00",0,0,4.600,2,2,,,20%+ OTM (loteria),"17,1",Dobra com até 20% no ativo,Baixa,Theta médio,0,0,2,0,2
AZZA3,AZZAC700,19/03/2027,328,,E,"70,00",OTM,"+135,37","0,85",,12/09/2025,5,"870,00","34,8","0,1431","0,0164","-0,0064","-0,75","8,9692","1,00",0,0,1.000,1,1,,,20%+ OTM (loteria),"20,0",Dobra com até 20% no ativo,Média,Theta médio,0,1,2,0,3
B3SA3,B3SAA845,15/01/2027,285,,E,"8,32",ITM,"-42,38",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
B3SA3,B3SAB845,19/02/2027,308,,E,"8,32",ITM,"-42,38",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
B3SA3,B3SAD936,16/04/2027,347,,E,"9,23",ITM,"-36,08","5,18","-14,23",27/10/2025,2,"3.628,00",,,,,,,"2,00",0,11.800,0,2,1,,,ITM,,,Baixa,,0,0,0,0,0
B3SA3,B3SAI930,17/09/2027,454,,E,"9,23",ITM,"-36,08","5,71","-0,69",04/11/2025,9,"14.208,00",,"0,9494","0,0168","-0,0042","-0,07","1,9605","0,83",70.600,0,700,5,6,,,ITM,"41,7",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
B3SA3,B3SAD128,16/04/2027,347,,E,"12,68",ITM,"-12,19","4,26","+38,31",14/11/2025,1,"426,00","20,1","0,9397","0,0349","-0,0061","-0,14","2,0328","1,00",0,0,100,1,1,,,ITM,"31,4",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
B3SA3,B3SAD142,16/04/2027,347,,E,"14,18",ATM,"-1,80","3,80","-7,99",02/07/2025,1,"380,00","24,0","0,8410","0,0531","-0,0061","-0,16","4,6020","0,40",103.200,0,900,2,5,,,0-5% OTM (colada),"31,3",Dobra com 20-40% no ativo,Baixa,Theta baixo,2,0,1,1,4
BBAS3,BBASJ100,15/10/2027,473,,E,"10,00",ITM,"-55,44",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBAS3,BBASE13,21/05/2027,371,,E,"12,64",ITM,"-43,67","12,00","+0,08",14/11/2025,3,"7.260,00",,"0,9997","0,0002","-0,0060","-0,05","0,0305","5,63",154.600,5.500,266.700,231,41,,,ITM,"53,5",Precisa de 40%+ no ativo,Média,Theta baixo,0,1,0,1,2
BBAS3,BBASL151,18/12/2026,269,,E,"14,27",ITM,"-36,41","10,75","+7,50",11/11/2025,1,"2.150,00",,"0,9203","0,0199","-0,0074","-0,07","3,2560","11,00",0,27.800,0,22,2,,,ITM,"52,1",Precisa de 40%+ no ativo,Baixa,Theta baixo,0,0,0,1,1
BBAS3,BBASL181,18/12/2026,269,,E,"17,27",ITM,"-23,04","7,02","+2,48",30/10/2025,3,"5.505,00","27,6","0,8718","0,0340","-0,0086","-0,12","4,6813","1,50",0,5.500,1.700,9,6,,,ITM,"35,9",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BBAS3,BBASC183,19/03/2027,328,,E,"18,39",ITM,"-18,05","6,30","0,00",30/10/2025,2,"7.820,00","24,5","0,8842","0,0313","-0,0084","-0,13","4,9690","8,00",0,0,2.800,8,1,,,ITM,"31,8",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BBAS3,BBASC188,19/03/2027,328,,E,"18,89",ITM,"-15,82","7,15","-0,69",14/11/2025,1,"715,00",,"0,9338","0,0241","-0,0092","-0,13","3,2401","5,50",0,0,10.200,11,2,,,ITM,"34,1",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASC193,19/03/2027,328,,E,"19,39",ITM,"-13,59","6,56","+9,33",31/10/2025,1,"656,00","26,3","0,8903","0,0280","-0,0096","-0,15","4,7886","4,00",0,0,6.800,4,1,,,ITM,"32,8",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASL197,18/12/2026,269,,E,"19,77",ITM,"-11,90",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBAS3,BBASC198,19/03/2027,328,,E,"19,89",ITM,"-11,36","6,54","+7,92",06/11/2025,3,"31.354,00","23,9","0,8152","0,0455","-0,0088","-0,13","6,5370","2,13",1.700,0,14.200,17,8,,,ITM,"35,8",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BBAS3,BBASJ199,15/10/2027,473,,E,"20,00",ITM,"-10,87","7,62","+5,83",14/11/2025,2,"1.567,00",,,,,,,"0,50",2.100,0,19.300,8,16,,,ITM,,,Baixa,,0,0,0,0,0
BBAS3,BBASL211,18/12/2026,269,,E,"20,27",ITM,"-9,67","5,87","+8,70",14/11/2025,6,"15.252,00","21,3","0,8774","0,0415","-0,0102","-0,17","4,6580","3,67",400,91.600,25.500,33,9,,,ITM,"29,8",Dobra com 20-40% no ativo,Média,Theta baixo,0,1,1,1,3
BBAS3,BBASL207,18/12/2026,269,,E,"20,77",ITM,"-7,44","3,90","-13,33",15/10/2025,14,"89.700,00","26,9","0,7491","0,0542","-0,0099","-0,25","6,9670","2,50",0,23.000,8.300,5,2,,,ITM,"23,2",Dobra com 20-40% no ativo,Alta,Theta baixo,0,2,1,1,4
BBAS3,BBASL212,18/12/2026,269,,E,"21,27",ITM,"-5,21",,,,,,,,,,,,,,,,,,,,ITM,,,,,0,0,0,0,0
BBAS3,BBASL217,18/12/2026,269,,E,"21,77",ITM,"-2,99","3,47","+0,57",22/10/2025,1,"3.470,00","26,1","0,7109","0,0595","-0,0101","-0,29","7,5178","1,50",2.000,0,400,3,2,,,ITM,"21,8",Dobra com 20-40% no ativo,Baixa,Theta baixo,0,0,1,1,2
BBAS3,BBASL222,18/12/2026,269,,E,"22,27",ATM,"-0,76","4,59","+17,39",14/11/2025,3,"10.909,00","24,7","0,8034","0,0475","-0,0112","-0,24","6,5483","1,20",2.800,0,20.300,6,5,,,0-5% OTM (colada),"25,5",Dobra com 20-40% no ativo,Média,Theta baixo,2,1,1,1,5
BBAS3,BBASK226,19/11/2027,496,,E,"22,65",ATM,"+0,94",,,,,,,,,,,,,,,,,,,,0-5% OTM (colada),,,,,2,0,0,0,2
BBAS3,BBASL251,18/12/2026,269,,E,"24,27",OTM,"+8,16","3,30","0,00",14/11/2025,24,"23.707,00","24,2","0,6983","0,0611","-0,0111","-0,34","8,2298","1,96",40.600,6.700,169.200,98,50,,,5-15% OTM (aposta),"21,1",Dobra com 20-40% no ativo,Média,Theta baixo,1,1,1,1,4
